File,registro,fecha,Unidad,proyecto,Solicitante,cantidad-solicitada,cantidad-subvencionada,Paises,Puntos-a,puntos-b,puntos-c,puntos-d
2007-3.csv,07-CAP3-1044,01/10/0007,GABINETE TÉCNICO,Ayuda Humanitaria para los refugiados Burundeses y Congoleños en los campos de refugiados de Tanzania.,Cruz Roja Española-CRUZ ROJA,349300,349300,África Subsahariana: Tanzania,2,2,2,1.5
2007-3.csv,07-CAP3-1045,0028/9/7,GABINETE TÉCNICO,1948-2008: 60 AÑOS DE HISTORIA DE LOS REFUGIADOS DE PALESTINA Y LA UNRWA,Comité Español de la UNRWA,24082,24082,Sin Determinar. General: España,3,2,1,2
2007-3.csv,07-CAP3-1046,01/10/0007,GABINETE TÉCNICO,"Zambia, Kapiri Sida",ONG MÉDICOS SIN FRONTERAS,500000,500000,África Subsahariana: Zambia,2,2,2,2
2007-3.csv,07-CAP3-1049,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,"EDICION, IMPRESION, ENCUADERNACION Y DISTRIBUCION DEL BOLETIN DE LA AEO",Asociación Española de Orientalistas,6000,6000,Sin Determinar. General: España,2.5,1.5,1,2.5
2007-3.csv,07-CAP3-1050,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Creación de una cooperativa textil femenina en el Aduar de Ramla en el norte de Africa,ATIM-RIOJA (Asociación de Trabajadores Inmigrantes Marroquíes en La Rioja),151698,151698,Magreb y Oriente Medio: Marruecos,3,2,1,2
2007-3.csv,07-CAP3-1051,0028/9/7,GABINETE TÉCNICO,"América Latina y la Trata de Mujeres con Fines de Explotación Sexual: un Problema de Género, Derechos Humanos y Migraciones.",Federación De Mujeres Progresistas-PROGRESISTAS,375717,120000,Sin Determinar. General: España,2,2,1,2.5
2007-3.csv,07-CAP3-1052,01/10/0007,GABINETE TÉCNICO,"Liberia, Hospital Benson",ONG MÉDICOS SIN FRONTERAS,1000000,1000000,África Subsahariana: Liberia,2.5,2,2,2
2007-3.csv,07-CAP3-1055,0028/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,CONSERVACIÓN DE LA COLECCIÓN DE ARCHIVOS DEL OBSERVATORIO DE MANILA,ONGD Cives Mundi-CIVES MUNDI,50040,50040,Asia Pacífico: Filipinas,2,2,2,2
2007-3.csv,07-CAP3-1056,0028/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,Redacción de un manual de historia de Guinea Ecuatorial,"Nerín Abad, Gustau",22950,13000,África Subsahariana: Guinea Ecuatorial,2,1.5,1.5,2.5
2007-3.csv,07-CAP3-1058,0028/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,"APOYO A ARTISTAS LOCALES Y GENERACIÓN DE EMPLEO SOSTENIBLE, CON EFOQUE DE GÉNERO, A TRAVÉS DEL REFUERZO AL SECTOR CULTURAL EN GRANADA, NICARAGUA.",Fundación ArtSur,654400,120000,Iberoamérica y Caribe: Nicaragua,2.5,1.5,1,2.5
